FIPS,% Urban Population,Household Median Income,Median Age,2012 Vote Rate for Democrats,"% White, Non-Latino",% Professional Jobs,Total Population,% of Edits that Were Made by a Local Editor (English Wikipedia),% of Content that Was Contributed by a Local Editor (English Wikipedia),% of Users who are Local (English Wikipedia),% Human-generated (Manual) Content (English Wikipedia),% Human (Manual) Edits (English Wikipedia),Non-spatial Outlink Entropy (English Wikipedia),% of Articles that are C-class or Higher (English Wikipedia),% of Spatial Outlinks to Governmental Articles (English Wikipedia),Tag Entropy (OpenStreetMap),Page Count (English Wikipedia)
1001,58.0,53682,37,26.6,77.2,0.317,54571,0.422,0.513,0.217,0.924,0.804,9.037,0.138,0.109,4.08,27
1003,57.7,50221,41.1,21.6,83.5,0.329,182265,0.458,0.492,0.192,0.927,0.819,8.842,0.076,0.092,5.19,137
1005,32.2,32911,39,51.3,46.8,0.263,27457,0.306,0.248,0.11,0.878,0.7,8.448,0,0.213,4.12,26
1007,31.6,36447,37.8,26.2,75,0.213,22915,0.205,0.335,0.099,0.9,0.678,7.92,0.038,0.131,4.48,25
1009,10.0,44145,39,12.3,88.9,0.268,57322,0.257,0.181,0.157,0.784,0.536,7.196,0.031,0.227,3.96,30
1011,48.6,32033,38.5,76.3,21.9,0.19,10914,0.056,0.013,0.046,0.842,0.599,7.519,0,0.265,4.87,13
1013,28.8,29918,40.1,46.1,54.1,0.281,20947,0.161,0.076,0.088,0.878,0.636,8.162,0.038,0.237,4.63,25
1015,66.3,39962,38.2,33.5,73.6,0.267,118572,0.402,0.278,0.19,0.919,0.791,8.716,0.027,0.14,5.46,75
1017,50.9,32402,41.5,47.1,58.1,0.255,34215,0.103,0.018,0.135,0.859,0.672,7.924,0,0.301,4.18,28
1019,14.3,34907,43.9,21.8,92.1,0.282,25989,0.153,0.021,0.097,0.786,0.592,7.104,0,0.26,2.5,19
1021,13.3,41250,37.6,19.5,81.1,0.261,43643,0.223,0.116,0.123,0.865,0.701,7.657,0,0.25,4.51,18
1023,0.0,33941,43.4,47.5,55.6,0.309,13859,0.221,0.219,0.068,0.798,0.491,7.438,0.038,0.309,4.03,24
1025,24.0,29357,40.2,45.7,54,0.239,25833,0.546,0.602,0.107,0.912,0.723,7.479,0.033,0.156,3.91,62
1027,0.0,34002,42,26.7,80.3,0.265,13932,0.101,0.013,0.058,0.871,0.669,7.705,0,0.255,3.14,17
1029,0.0,38019,40.6,15.4,93.2,0.262,14972,0.108,0.111,0.096,0.827,0.6,7.9,0,0.217,2.81,21
1031,52.8,43768,37.6,24.8,72.3,0.315,49948,0.163,0.082,0.148,0.893,0.757,8.165,0.091,0.2,4.56,22
1033,56.1,39077,41.8,39.2,79.6,0.279,54428,0.35,0.393,0.156,0.914,0.774,8.693,0,0.179,5.56,44
1035,19.1,24658,43,50.6,51.1,0.207,13228,0.136,0.014,0.108,0.867,0.555,7.836,0,0.286,3.8,17
1037,0.0,37277,44.2,41.7,65.9,0.209,11539,0.023,0.003,0.046,0.848,0.585,8.491,0,0.134,3.13,14
1039,30.3,35869,42.4,20.5,84.1,0.245,37765,0.09,0.073,0.13,0.786,0.511,7.893,0,0.5,3.81,38
1041,0.0,36275,40.7,31.9,72.1,0.291,13906,0.017,0.003,0.032,0.74,0.404,6.954,0,0.383,3.76,14
1043,26.8,38847,39.9,14.6,92.7,0.282,80406,0.259,0.278,0.168,0.868,0.699,7.819,0.036,0.195,4.34,57
1045,49.1,44889,36.1,28.5,71.1,0.264,50251,0.245,0.32,0.112,0.831,0.648,8.555,0.114,0.236,4.68,35
