RowNum,Total Population,% Urban,Gender Ratio,% Han Population,% Age 15-64,% Bachelors+,Inlinks per capita (Chinese Wikipedia),Outlinks per capita (Chinese Wikipedia),Non-Spatial Inlinks per capita (Chinese Wikipedia),Non-spatial Outlinks per capita (Chinese Wikipedia),Page Views per capita (Chinese Wikipedia),Page Length per capita (Chinese Wikipedia),Page Count per capita (Chinese Wikipedia),Page Views per Page (Chinese Wikipedia)
0,-0.10897808,1.180462374,0.114516316,0.86518484,1.261201291,0.348921107,-2.317774219,-2.374154922,-2.202395549,-2.290709469,-1.89469177,-2.156364463,-2.49924073,-1.974058229
1,-0.414544131,1.294307242,6.352484183,0.49900654,1.32912104,0.696198772,-2.100340634,-2.263074193,-1.88878058,-1.997611435,-1.624805656,-1.72599027,-2.154939574,-1.174761557
2,0.124197217,-0.410980343,-0.435063685,1.536968286,0.905754605,0.016431331,-1.09255997,-1.278523439,-0.949833353,-1.449606954,-1.44881459,-1.534566686,-1.418390346,-1.310117047
3,-0.303130779,-0.301171401,-0.273008044,-0.068327543,0.439372329,-0.850480524,-0.979946786,-0.984566397,-1.06248771,-1.291223826,-1.435407876,-1.277834466,-1.314060716,-1.319981152
4,-1.862352015,2.746072974,1.688100077,0.270801113,1.145737718,0.718612746,0.377659554,0.796102714,0.044241288,0.717064906,0.568605294,0.713961832,0.456268691,1.864702363
5,-1.126312628,0.803136802,0.880170504,1.284649763,1.240825366,0.571694246,-2.427379338,-2.461475748,-2.341859251,-2.410022003,-2.035397827,-2.420240854,-2.780933257,-1.705575349
6,-0.62153246,-0.313636727,0.018222384,1.488286223,1.245353349,-0.281644211,-1.355304129,-1.289482428,-1.457247491,-1.692652865,-1.766757827,-1.760994878,-1.844501519,-1.174085433
7,-0.927052551,-1.442797765,-0.888349753,1.46557563,-1.704627744,-0.430557105,-0.021927169,0.088204633,-0.194602977,-0.359852839,-0.489231241,-0.447312717,-0.209962856,-0.119315434
8,-1.51676839,1.242673661,0.285966487,0.953297105,0.242405057,0.261952319,-0.276817113,-0.304362399,-0.235061557,-0.073317434,-0.543964207,-0.242591739,0.111783357,0.309360434
9,-0.886182305,-0.567713788,-0.249521719,1.572214492,-0.905438699,-0.665711969,-1.014845202,-1.0501773,-0.987538989,-1.174797241,-1.20541456,-1.082831088,-1.02752179,-0.407389153
10,1.69003063,2.128350824,0.938886316,-0.454946516,1.761543441,2.196151218,2.196976132,2.700573849,2.08585116,3.006588027,2.986011136,2.910994585,1.979684365,1.625041878
11,0.054652566,-0.431295181,-1.299360437,-0.806695039,-1.731795644,-1.499718492,-0.151129652,-0.286198188,-0.033973723,-0.188061805,-0.236716026,0.077190385,-0.08328136,-0.250621722
12,0.551844259,0.844636302,1.345199735,-0.290930971,0.584267793,-0.036409017,0.033521505,-0.089841199,0.155292734,0.131255755,0.304604013,0.276083875,-0.112085962,0.518324697
13,0.515272968,0.871375387,-0.190805907,-0.36911438,0.577475818,-0.490027885,0.370388187,0.373234757,0.505656704,0.693036109,1.193927539,0.952012165,0.28877052,1.148836828
14,0.828073615,-0.005675587,-0.44915548,-1.04448008,-1.310693201,-2.822938786,0.80247272,0.638542155,0.862650505,0.581164167,0.866148509,1.022334135,0.752158837,0.934855027
15,0.815273873,-0.722699649,0.635912726,-0.959188063,-2.127994179,-0.876208229,0.195468585,0.038104355,0.316365146,0.138175384,-0.014055532,0.107204295,0.240119148,-0.061985542
16,0.460537415,-0.257168089,-1.196020608,-1.094769746,-1.127309879,-0.82651376,0.116834134,-0.196318211,0.227979497,-0.209677866,0.216194249,0.048509783,0.011885234,0.074786281
17,0.307856375,0.007671781,-0.120346932,0.00259477,-0.672247561,-1.026401735,-0.446034435,-0.622495533,-0.299094119,-0.448783603,-0.306187822,-0.380167914,-0.418555207,-0.19192902
18,0.713314423,-0.622048994,-0.768569497,-0.948584723,-0.217185244,-0.11218457,0.234191342,0.483711269,0.090267166,0.344181316,0.18167298,0.24737586,0.457605894,-0.294978033
19,0.133194323,-0.234280068,-0.37399924,-0.634258871,-0.722055377,0.256480522,0.408110812,0.460484662,0.484951301,0.652633425,0.392468816,0.645837253,0.625988504,0.512754033
20,0.611669466,-1.135182826,-0.634697446,-0.637577215,-1.580108205,-1.761407616,0.195794438,0.214461939,0.184048319,0.118615713,-0.081859095,-0.049483651,0.306422692,0.045904492
21,0.35955657,-0.395688631,-0.545449411,-0.953865683,-0.502448189,-0.685345556,-0.724809308,-1.078886304,-0.486882987,-0.749244793,-0.37403651,-0.248355746,-1.920806314,1.509611034
22,-0.778338579,-0.175599043,-0.968203258,-0.959188063,-0.097193687,-0.061850807,-0.08897899,0.031548608,-0.163170371,-0.051110163,0.133994905,-0.063253814,-0.051402154,0.542879004
23,0.378133837,-0.345564546,-0.557192574,-0.657835434,-0.459432348,-0.356408567,-0.171729011,-0.21934429,-0.09628395,-0.13051938,0.022371518,-0.074777403,0.131784113,-0.075911929
24,1.114669518,-0.931659992,-1.759692404,-0.675191878,-1.627652029,-1.519622734,0.613850145,0.830719744,0.388348456,0.475847266,0.407446925,0.354437365,0.799239707,-0.034312035
25,0.792902284,1.214865137,0.967069906,-0.733918227,0.772179099,1.969122999,0.690143161,0.657681637,0.76658042,0.729996753,0.949258653,0.911831068,0.665556321,0.800896814
26,-0.318555586,0.324389008,-0.69576189,-1.038448041,-0.042857888,0.242388197,0.313481863,0.300246991,0.346300824,0.348147663,0.955476963,0.34201919,0.505100841,1.738275371
27,-0.207849023,0.84160721,0.588940077,-0.535827838,0.233349091,0.595922719,0.664177719,1.057516776,0.537945401,1.100169464,0.645885641,0.74207794,1.302146703,0.996171695
28,-0.813664176,-0.383748645,-0.554843941,-0.980905115,0.369188589,0.247732067,0.25740758,0.59564998,0.14383072,0.631676875,0.571346961,0.330685168,0.459729662,0.417160231
29,0.77492869,-0.736153339,-0.35521018,-0.765304166,-0.549992013,-0.74619064,0.135100063,0.311989092,-0.017360652,0.033831987,-0.159966398,-0.086257082,0.196609472,-0.532861214
30,-0.807644833,1.249397964,0.210810247,-0.781558834,0.568419852,1.166973306,0.455909732,0.684286912,0.462812759,0.767986205,0.541868739,0.834637779,1.028850334,1.257302571
31,0.722042494,-0.947743279,-0.902441548,-0.980905115,-0.993734373,-0.933295251,0.29719355,0.474111361,0.117468478,0.188533605,0.032564412,0.053191326,0.351979484,-0.00557437
32,-1.519124061,1.479610367,-0.280053941,-0.893054877,0.471068212,1.101031197,0.824403604,1.104527905,0.645892507,0.890354801,0.996455858,1.117636926,0.978496399,2.139225324
33,-0.242343965,1.039776466,0.163837598,-0.864577973,0.586531785,1.377655566,0.65037582,0.52972463,0.734284992,0.750502191,1.053404742,0.994090603,0.763153438,1.459268734
34,-0.116169934,-0.241122168,-0.09920924,-0.859945874,-0.020217972,-0.595640381,-0.191759544,-0.029646782,-0.187828775,-0.001556197,0.055262803,0.003053834,0.159984174,0.008056802
35,2.176655865,2.256028196,0.285966487,-0.018448776,1.947190754,3.19209806,2.3420692,2.304769113,2.214230394,2.771000637,3.348204868,2.756458658,1.744346254,1.498754084
36,2.608852091,0.328686858,-0.68636736,0.264667824,-0.633759703,0.704933334,0.163217062,0.50600252,-0.094412762,0.37153443,0.180799619,0.392908356,0.54164242,-1.677656727
37,1.040870352,0.851050208,-0.322329326,-0.550297468,0.729163258,1.507609346,0.849558984,0.817967626,0.936704182,1.034997234,1.422974602,1.598995986,0.937825943,0.662307576
38,-0.104464162,-0.139914637,0.23194794,-0.467774874,-0.135681545,0.156739517,-0.181990085,-0.207759216,-0.122063739,-0.152153915,-0.211627204,0.102430927,-0.006179412,-0.447802321
39,-0.067442627,0.194903572,0.011176487,-0.547378754,-0.432264448,-0.111556751,-0.436516549,-0.368890491,-0.346821314,-0.216231297,-0.315960292,0.169074839,-0.233056447,-0.609118275
40,0.004885143,0.02998932,0.981161701,0.196195079,0.233349091,-0.473969628,0.151894389,0.047812568,0.281153835,0.25041141,0.14989657,0.340150484,0.326973044,-0.108083427
41,-0.012512116,0.197468837,-1.639912147,-0.55322879,-0.178697386,-0.103018644,0.57445088,0.351232956,0.683282901,0.439623008,0.809876663,0.894725546,0.718120334,1.145404837
42,1.189996603,0.644970876,0.417489906,-0.213669816,1.229505408,-0.0644327,0.849701109,0.932950753,0.927458566,1.281485135,1.678042743,1.558896199,0.852977894,1.003723069
43,-0.129315474,0.217202858,0.917748624,-0.556172829,0.029589844,0.21686922,-0.394331211,-0.526676706,-0.290010972,-0.468501017,-0.533201072,-0.06216737,-0.112954581,-0.796957023
44,0.256075574,2.394539678,0.539618795,-0.305047972,1.929078821,1.979752265,1.188872894,1.60822877,1.155494999,1.831923513,2.338264451,2.081856508,1.551991126,2.587627816
45,0.602236607,-0.039900323,-0.017007103,-0.48349604,0.138261442,-0.00457641,0.243916611,0.200061575,0.370866165,0.501069569,0.575446914,0.450168555,0.341597106,0.317925135
46,-0.557103552,-0.470066838,0.032314179,-0.507782526,0.169957325,-0.270817082,-0.854188178,-0.76277253,-0.898311291,-0.824656221,-1.073975908,-0.776057626,-0.603214365,-0.784857634
47,-0.045190998,-1.419052344,-0.453852745,-0.62767047,-0.25340911,-1.214590698,-0.139740963,-0.005684923,-0.246627196,-0.398259715,-0.601176894,-0.271736027,-0.157275933,-0.6999898
48,-1.574351069,-1.363968406,0.206112982,1.682454973,-0.701679452,-0.433455774,-1.051390193,-0.752472802,-1.299752445,-0.853332824,-1.130267032,-0.859438857,-0.953901011,-1.020236221
